Year,Team,Wins,Loss,Home Wins,Home Loss,Away Wins,Away Loss,HomePCT,AwayPCT,TotalPCT
2008,Detroit,39,43,21,20,18,23,0.512195122,0.43902439,0.475609756
2009,Detroit,27,55,17,24,10,31,0.414634146,0.243902439,0.329268293
2010,Detroit,30,52,21,20,9,32,0.512195122,0.219512195,0.365853659
1971,GoldenState,51,31,27,8,21,20,0.771428571,0.512195122,0.62195122
1972,GoldenState,47,35,27,14,18,20,0.658536585,0.473684211,0.573170732
1973,GoldenState,44,38,23,18,20,20,0.56097561,0.5,0.536585366
1974,GoldenState,48,34,31,10,17,24,0.756097561,0.414634146,0.585365854
1975,GoldenState,59,23,36,5,23,18,0.87804878,0.56097561,0.719512195
1976,GoldenState,46,36,29,12,17,24,0.707317073,0.414634146,0.56097561
1977,GoldenState,43,39,30,11,13,28,0.731707317,0.317073171,0.524390244
1978,GoldenState,38,44,23,18,15,26,0.56097561,0.365853659,0.463414634
1979,GoldenState,24,58,15,26,9,32,0.365853659,0.219512195,0.292682927
1980,GoldenState,39,43,26,15,13,28,0.634146341,0.317073171,0.475609756
1981,GoldenState,45,37,28,13,17,24,0.682926829,0.414634146,0.548780488
1982,GoldenState,30,52,21,20,9,32,0.512195122,0.219512195,0.365853659
1983,GoldenState,37,45,27,14,10,31,0.658536585,0.243902439,0.451219512
1984,GoldenState,22,60,17,24,5,36,0.414634146,0.12195122,0.268292683
1985,GoldenState,30,52,24,17,6,35,0.585365854,0.146341463,0.365853659
1986,GoldenState,42,40,25,16,17,24,0.609756098,0.414634146,0.512195122
1987,GoldenState,20,62,16,25,4,37,0.390243902,0.097560976,0.243902439
1988,GoldenState,43,39,29,12,14,27,0.707317073,0.341463415,0.524390244
1989,GoldenState,37,45,27,14,10,31,0.658536585,0.243902439,0.451219512
1990,GoldenState,44,38,30,11,14,27,0.731707317,0.341463415,0.536585366
1991,GoldenState,55,27,31,10,24,17,0.756097561,0.585365854,0.670731707
1992,GoldenState,34,48,19,22,15,26,0.463414634,0.365853659,0.414634146
1993,GoldenState,50,32,29,12,21,20,0.707317073,0.512195122,0.609756098
1994,GoldenState,26,56,15,26,11,30,0.365853659,0.268292683,0.317073171
1995,GoldenState,36,46,23,18,13,28,0.56097561,0.317073171,0.43902439
1996,GoldenState,30,52,18,23,12,29,0.43902439,0.292682927,0.365853659
1997,GoldenState,19,63,12,29,7,34,0.292682927,0.170731707,0.231707317
1998,GoldenState,21,29,13,12,8,17,0.52,0.32,0.42
1999,GoldenState,19,63,12,29,7,34,0.292682927,0.170731707,0.231707317
2000,GoldenState,17,65,11,30,6,35,0.268292683,0.146341463,0.207317073
2001,GoldenState,21,61,14,27,7,34,0.341463415,0.170731707,0.256097561
2002,GoldenState,38,44,24,17,14,27,0.585365854,0.341463415,0.463414634
2003,GoldenState,37,45,27,14,10,31,0.658536585,0.243902439,0.451219512
2004,GoldenState,34,48,20,21,14,27,0.487804878,0.341463415,0.414634146
2005,GoldenState,34,48,21,20,13,28,0.512195122,0.317073171,0.414634146
2006,GoldenState,42,40,30,11,12,29,0.731707317,0.292682927,0.512195122
2007,GoldenState,48,34,27,14,21,20,0.658536585,0.512195122,0.585365854
2008,GoldenState,29,53,21,20,8,33,0.512195122,0.195121951,0.353658537
2009,GoldenState,26,56,18,23,8,33,0.43902439,0.195121951,0.317073171
2010,GoldenState,36,46,26,15,10,31,0.634146341,0.243902439,0.43902439
1971,Houston,34,48,15,20,14,23,0.428571429,0.378378378,0.414634146
1972,Houston,33,49,14,14,10,28,0.5,0.263157895,0.402439024
1973,Houston,32,50,18,23,13,25,0.43902439,0.342105263,0.390243902
1974,Houston,41,41,29,12,12,29,0.707317073,0.292682927,0.5
1975,Houston,40,42,28,13,12,29,0.682926829,0.292682927,0.487804878
1976,Houston,49,33,34,7,15,26,0.829268293,0.365853659,0.597560976
1977,Houston,28,54,21,20,7,34,0.512195122,0.170731707,0.341463415
1978,Houston,47,35,30,11,17,24,0.731707317,0.414634146,0.573170732
1979,Houston,41,41,29,12,12,29,0.707317073,0.292682927,0.5
1980,Houston,40,42,25,16,15,26,0.609756098,0.365853659,0.487804878
1981,Houston,46,36,25,16,21,20,0.609756098,0.512195122,0.56097561
1982,Houston,14,68,9,32,5,36,0.219512195,0.12195122,0.170731707
1983,Houston,29,53,21,20,8,33,0.512195122,0.195121951,0.353658537
1984,Houston,48,34,29,12,19,22,0.707317073,0.463414634,0.585365854
1985,Houston,51,31,36,5,15,26,0.87804878,0.365853659,0.62195122
1986,Houston,42,40,25,16,17,24,0.609756098,0.414634146,0.512195122
1987,Houston,46,36,31,10,15,26,0.756097561,0.365853659,0.56097561
1988,Houston,45,37,31,10,14,27,0.756097561,0.341463415,0.548780488
1989,Houston,41,41,31,10,10,31,0.756097561,0.243902439,0.5
1990,Houston,52,30,31,10,21,20,0.756097561,0.512195122,0.634146341
1991,Houston,42,40,28,13,14,27,0.682926829,0.341463415,0.512195122
1992,Houston,55,27,31,10,24,17,0.756097561,0.585365854,0.670731707
1993,Houston,58,24,35,6,23,18,0.853658537,0.56097561,0.707317073
1994,Houston,47,35,25,16,22,19,0.609756098,0.536585366,0.573170732
1995,Houston,48,34,27,14,21,20,0.658536585,0.512195122,0.585365854
1996,Houston,57,25,30,11,27,14,0.731707317,0.658536585,0.695121951
1997,Houston,41,41,24,17,17,24,0.585365854,0.414634146,0.5
1998,Houston,31,19,19,6,12,13,0.76,0.48,0.62
1999,Houston,34,48,22,19,12,29,0.536585366,0.292682927,0.414634146
2000,Houston,45,37,24,17,21,20,0.585365854,0.512195122,0.548780488
2001,Houston,28,54,18,23,10,31,0.43902439,0.243902439,0.341463415
2002,Houston,43,39,28,13,15,26,0.682926829,0.365853659,0.524390244
2003,Houston,45,37,27,14,18,23,0.658536585,0.43902439,0.548780488
2004,Houston,51,31,26,15,25,16,0.634146341,0.609756098,0.62195122
2005,Houston,34,48,15,26,19,22,0.365853659,0.463414634,0.414634146
2006,Houston,52,30,28,13,24,17,0.682926829,0.585365854,0.634146341
2007,Houston,55,27,31,10,24,17,0.756097561,0.585365854,0.670731707
2008,Houston,53,29,33,8,20,21,0.804878049,0.487804878,0.646341463
2009,Houston,42,40,23,18,19,22,0.56097561,0.463414634,0.512195122
2010,Houston,43,39,25,16,18,23,0.609756098,0.43902439,0.524390244
1976,Indiana,36,46,25,16,11,30,0.609756098,0.268292683,0.43902439
1977,Indiana,31,51,21,20,10,31,0.512195122,0.243902439,0.37804878
1978,Indiana,38,44,25,16,13,28,0.609756098,0.317073171,0.463414634
1979,Indiana,37,45,26,15,11,30,0.634146341,0.268292683,0.451219512
1980,Indiana,44,38,27,14,17,24,0.658536585,0.414634146,0.536585366
1981,Indiana,35,47,25,16,10,31,0.609756098,0.243902439,0.426829268
1982,Indiana,20,62,14,27,6,35,0.341463415,0.146341463,0.243902439
1983,Indiana,26,56,20,21,6,35,0.487804878,0.146341463,0.317073171
1984,Indiana,22,60,16,25,6,35,0.390243902,0.146341463,0.268292683
1985,Indiana,26,56,19,22,7,34,0.463414634,0.170731707,0.317073171
1986,Indiana,41,41,28,13,13,28,0.682926829,0.317073171,0.5
1987,Indiana,38,44,25,16,13,28,0.609756098,0.317073171,0.463414634
1988,Indiana,28,54,20,21,8,33,0.487804878,0.195121951,0.341463415
1989,Indiana,42,40,28,13,14,27,0.682926829,0.341463415,0.512195122
1990,Indiana,41,41,29,12,12,29,0.707317073,0.292682927,0.5
1991,Indiana,40,42,26,15,14,27,0.634146341,0.341463415,0.487804878
1992,Indiana,41,41,27,14,14,27,0.658536585,0.341463415,0.5
1993,Indiana,47,35,29,12,18,23,0.707317073,0.43902439,0.573170732
1994,Indiana,52,30,33,8,19,22,0.804878049,0.463414634,0.634146341
1995,Indiana,52,30,32,9,20,21,0.780487805,0.487804878,0.634146341
1996,Indiana,39,43,21,20,18,23,0.512195122,0.43902439,0.475609756
1997,Indiana,58,24,32,9,26,15,0.780487805,0.634146341,0.707317073
1998,Indiana,33,17,18,7,15,10,0.72,0.6,0.66
1999,Indiana,56,26,36,5,20,21,0.87804878,0.487804878,0.682926829
2000,Indiana,41,41,26,15,15,26,0.634146341,0.365853659,0.5
2001,Indiana,42,40,25,16,17,24,0.609756098,0.414634146,0.512195122
2002,Indiana,48,34,32,9,16,25,0.780487805,0.390243902,0.585365854
2003,Indiana,61,21,34,7,27,14,0.829268293,0.658536585,0.743902439
2004,Indiana,44,38,25,16,19,22,0.609756098,0.463414634,0.536585366
2005,Indiana,41,41,27,14,14,27,0.658536585,0.341463415,0.5
2006,Indiana,35,47,22,19,13,28,0.536585366,0.317073171,0.426829268
2007,Indiana,36,46,21,20,15,26,0.512195122,0.365853659,0.43902439
2008,Indiana,36,46,25,16,11,30,0.609756098,0.268292683,0.43902439
2009,Indiana,32,50,23,18,9,32,0.56097561,0.219512195,0.390243902
2010,Indiana,37,45,24,17,13,28,0.585365854,0.317073171,0.451219512
1950,Indianapolis,31,37,19,12,10,24,0.612903226,0.294117647,0.455882353
1951,Indianapolis,34,32,25,6,4,24,0.806451613,0.142857143,0.515151515
1952,Indianapolis,28,43,19,14,4,23,0.575757576,0.148148148,0.394366197
1976,KansasCity,40,42,28,13,12,29,0.682926829,0.292682927,0.487804878
1977,KansasCity,31,51,22,19,9,32,0.536585366,0.219512195,0.37804878
1978,KansasCity,48,34,32,9,16,25,0.780487805,0.390243902,0.585365854
1979,KansasCity,47,35,30,11,17,24,0.731707317,0.414634146,0.573170732
1980,KansasCity,40,42,24,17,16,25,0.585365854,0.390243902,0.487804878
1981,KansasCity,30,52,23,18,7,34,0.56097561,0.170731707,0.365853659
1982,KansasCity,45,37,30,11,15,26,0.731707317,0.365853659,0.548780488
1983,KansasCity,38,44,26,15,12,29,0.634146341,0.292682927,0.463414634
1984,KansasCity,31,51,23,18,8,33,0.56097561,0.195121951,0.37804878
1972,KansasCity-Omaha,36,46,24,17,12,29,0.585365854,0.292682927,0.43902439
1973,KansasCity-Omaha,33,49,20,21,13,28,0.487804878,0.317073171,0.402439024
1974,KansasCity-Omaha,44,38,29,12,15,26,0.707317073,0.365853659,0.536585366
1975,KansasCity-Omaha,31,51,25,16,6,35,0.609756098,0.146341463,0.37804878
1984,LosAngeles Clippers,31,51,20,21,11,30,0.487804878,0.268292683,0.37804878
1985,LosAngeles Clippers,32,50,22,19,10,31,0.536585366,0.243902439,0.390243902
1986,LosAngeles Clippers,12,70,9,32,3,38,0.219512195,0.073170732,0.146341463
1987,LosAngeles Clippers,17,65,14,27,3,38,0.341463415,0.073170732,0.207317073
1988,LosAngeles Clippers,21,61,17,24,4,37,0.414634146,0.097560976,0.256097561
1989,LosAngeles Clippers,30,52,20,21,10,31,0.487804878,0.243902439,0.365853659
1990,LosAngeles Clippers,31,51,23,18,8,33,0.56097561,0.195121951,0.37804878
1991,LosAngeles Clippers,45,37,29,12,16,25,0.707317073,0.390243902,0.548780488
1992,LosAngeles Clippers,41,41,27,14,14,27,0.658536585,0.341463415,0.5
1993,LosAngeles Clippers,27,55,17,24,10,31,0.414634146,0.243902439,0.329268293
1994,LosAngeles Clippers,17,65,13,28,4,37,0.317073171,0.097560976,0.207317073
1995,LosAngeles Clippers,29,53,19,22,10,31,0.463414634,0.243902439,0.353658537
1996,LosAngeles Clippers,36,46,21,20,15,26,0.512195122,0.365853659,0.43902439
1997,LosAngeles Clippers,17,65,11,30,6,35,0.268292683,0.146341463,0.207317073
1998,LosAngeles Clippers,9,41,6,19,3,22,0.24,0.12,0.18
1999,LosAngeles Clippers,15,67,10,31,5,36,0.243902439,0.12195122,0.182926829
2000,LosAngeles Clippers,31,51,22,19,9,32,0.536585366,0.219512195,0.37804878
2001,LosAngeles Clippers,39,43,25,16,14,27,0.609756098,0.341463415,0.475609756
2002,LosAngeles Clippers,27,55,16,25,11,30,0.390243902,0.268292683,0.329268293
2003,LosAngeles Clippers,28,54,18,23,10,31,0.43902439,0.243902439,0.341463415
2004,LosAngeles Clippers,37,45,27,14,10,31,0.658536585,0.243902439,0.451219512
2005,LosAngeles Clippers,47,35,27,14,20,21,0.658536585,0.487804878,0.573170732
2006,LosAngeles Clippers,40,42,25,16,15,26,0.609756098,0.365853659,0.487804878
2007,LosAngeles Clippers,23,59,13,28,10,31,0.317073171,0.243902439,0.280487805
2008,LosAngeles Clippers,19,63,11,30,8,33,0.268292683,0.195121951,0.231707317
2009,LosAngeles Clippers,29,53,21,20,8,33,0.512195122,0.195121951,0.353658537
2010,LosAngeles Clippers,32,50,23,18,9,32,0.56097561,0.219512195,0.390243902
1960,LosAngeles Lakers,36,43,16,12,6,20,0.571428571,0.230769231,0.455696203
1961,LosAngeles Lakers,54,26,26,5,18,13,0.838709677,0.580645161,0.675
1962,LosAngeles Lakers,53,27,27,7,20,17,0.794117647,0.540540541,0.6625
1963,LosAngeles Lakers,42,38,24,12,15,21,0.666666667,0.416666667,0.525
1964,LosAngeles Lakers,49,31,25,13,21,16,0.657894737,0.567567568,0.6125
1965,LosAngeles Lakers,45,35,28,11,13,21,0.717948718,0.382352941,0.5625
1966,LosAngeles Lakers,36,45,21,18,12,20,0.538461538,0.375,0.444444444
1967,LosAngeles Lakers,52,30,30,11,18,19,0.731707317,0.486486486,0.634146341
1968,LosAngeles Lakers,55,27,32,9,21,18,0.780487805,0.538461538,0.670731707
1969,LosAngeles Lakers,46,36,27,14,17,21,0.658536585,0.447368421,0.56097561
1970,LosAngeles Lakers,48,34,30,11,17,22,0.731707317,0.435897436,0.585365854
1971,LosAngeles Lakers,69,13,36,5,31,7,0.87804878,0.815789474,0.841463415
1972,LosAngeles Lakers,60,22,30,11,28,11,0.731707317,0.717948718,0.731707317
1973,LosAngeles Lakers,47,35,30,11,17,24,0.731707317,0.414634146,0.573170732
1974,LosAngeles Lakers,30,52,21,20,9,32,0.512195122,0.219512195,0.365853659
1975,LosAngeles Lakers,40,42,31,10,9,32,0.756097561,0.219512195,0.487804878
1976,LosAngeles Lakers,53,29,37,4,16,25,0.902439024,0.390243902,0.646341463
1977,LosAngeles Lakers,45,37,29,12,16,25,0.707317073,0.390243902,0.548780488
1978,LosAngeles Lakers,47,35,31,10,16,25,0.756097561,0.390243902,0.573170732
1979,LosAngeles Lakers,60,22,37,4,23,18,0.902439024,0.56097561,0.731707317
1980,LosAngeles Lakers,54,28,30,11,24,17,0.731707317,0.585365854,0.658536585
1981,LosAngeles Lakers,57,25,30,11,27,14,0.731707317,0.658536585,0.695121951
1982,LosAngeles Lakers,58,24,33,8,25,16,0.804878049,0.609756098,0.707317073
1983,LosAngeles Lakers,54,28,28,13,26,15,0.682926829,0.634146341,0.658536585
1984,LosAngeles Lakers,62,20,36,5,26,15,0.87804878,0.634146341,0.756097561
1985,LosAngeles Lakers,62,20,35,6,27,14,0.853658537,0.658536585,0.756097561
1986,LosAngeles Lakers,65,17,37,4,28,13,0.902439024,0.682926829,0.792682927
1987,LosAngeles Lakers,62,20,36,5,26,15,0.87804878,0.634146341,0.756097561
1988,LosAngeles Lakers,57,25,35,6,22,19,0.853658537,0.536585366,0.695121951
1989,LosAngeles Lakers,63,19,37,4,26,15,0.902439024,0.634146341,0.768292683
1990,LosAngeles Lakers,58,24,33,8,25,16,0.804878049,0.609756098,0.707317073
1991,LosAngeles Lakers,43,39,24,17,19,22,0.585365854,0.463414634,0.524390244
1992,LosAngeles Lakers,39,43,20,21,19,22,0.487804878,0.463414634,0.475609756
1993,LosAngeles Lakers,33,49,21,20,12,29,0.512195122,0.292682927,0.402439024
1994,LosAngeles Lakers,48,34,29,12,19,22,0.707317073,0.463414634,0.585365854
1995,LosAngeles Lakers,53,29,30,11,23,18,0.731707317,0.56097561,0.646341463
1996,LosAngeles Lakers,56,26,31,10,25,16,0.756097561,0.609756098,0.682926829
1997,LosAngeles Lakers,61,21,33,8,28,13,0.804878049,0.682926829,0.743902439
1998,LosAngeles Lakers,31,19,18,7,13,12,0.72,0.52,0.62
1999,LosAngeles Lakers,67,15,36,5,31,10,0.87804878,0.756097561,0.817073171
2000,LosAngeles Lakers,56,26,31,10,25,16,0.756097561,0.609756098,0.682926829
2001,LosAngeles Lakers,58,24,34,7,24,17,0.829268293,0.585365854,0.707317073
2002,LosAngeles Lakers,50,32,31,10,19,22,0.756097561,0.463414634,0.609756098
2003,LosAngeles Lakers,56,26,34,7,22,19,0.829268293,0.536585366,0.682926829
2004,LosAngeles Lakers,34,48,22,19,12,29,0.536585366,0.292682927,0.414634146
2005,LosAngeles Lakers,45,37,27,14,18,23,0.658536585,0.43902439,0.548780488
2006,LosAngeles Lakers,42,40,25,16,17,24,0.609756098,0.414634146,0.512195122
2007,LosAngeles Lakers,57,25,30,11,27,14,0.731707317,0.658536585,0.695121951
2008,LosAngeles Lakers,65,17,36,5,29,12,0.87804878,0.707317073,0.792682927
2009,LosAngeles Lakers,57,25,34,7,23,18,0.829268293,0.56097561,0.695121951
2010,LosAngeles Lakers,57,25,30,11,27,14,0.731707317,0.658536585,0.695121951
2001,Memphis,23,59,15,26,8,33,0.365853659,0.195121951,0.280487805
2002,Memphis,28,54,20,21,8,33,0.487804878,0.195121951,0.341463415
2003,Memphis,50,32,31,10,19,22,0.756097561,0.463414634,0.609756098
2004,Memphis,45,37,26,15,19,22,0.634146341,0.463414634,0.548780488
2005,Memphis,49,33,30,11,19,22,0.731707317,0.463414634,0.597560976
2006,Memphis,22,60,14,27,8,33,0.341463415,0.195121951,0.268292683
2007,Memphis,22,60,14,27,8,33,0.341463415,0.195121951,0.268292683
2008,Memphis,24,58,16,25,8,33,0.390243902,0.195121951,0.292682927
2009,Memphis,40,42,23,18,17,24,0.56097561,0.414634146,0.487804878
2010,Memphis,46,36,30,11,16,25,0.731707317,0.390243902,0.56097561
1988,Miami,15,67,12,29,3,38,0.292682927,0.073170732,0.182926829
1989,Miami,18,64,11,30,7,34,0.268292683,0.170731707,0.219512195
1990,Miami,24,58,18,23,6,35,0.43902439,0.146341463,0.292682927
1991,Miami,38,44,28,13,10,31,0.682926829,0.243902439,0.463414634
1992,Miami,36,46,26,15,10,31,0.634146341,0.243902439,0.43902439
1993,Miami,42,40,22,19,20,21,0.536585366,0.487804878,0.512195122
1994,Miami,32,50,22,19,10,31,0.536585366,0.243902439,0.390243902
1995,Miami,42,40,26,15,16,25,0.634146341,0.390243902,0.512195122
1996,Miami,61,21,29,12,32,9,0.707317073,0.780487805,0.743902439
1997,Miami,55,27,30,11,25,16,0.731707317,0.609756098,0.670731707
1998,Miami,33,17,18,7,15,10,0.72,0.6,0.66
1999,Miami,52,30,33,8,19,22,0.804878049,0.463414634,0.634146341
2000,Miami,50,32,29,12,21,20,0.707317073,0.512195122,0.609756098
2001,Miami,36,46,18,23,18,23,0.43902439,0.43902439,0.43902439
2002,Miami,25,57,16,25,9,32,0.390243902,0.219512195,0.304878049
2003,Miami,42,40,29,12,13,28,0.707317073,0.317073171,0.512195122
2004,Miami,59,23,35,6,24,17,0.853658537,0.585365854,0.719512195
2005,Miami,52,30,31,10,21,20,0.756097561,0.512195122,0.634146341
2006,Miami,44,38,27,14,17,24,0.658536585,0.414634146,0.536585366
2007,Miami,15,67,9,32,6,35,0.219512195,0.146341463,0.182926829
2008,Miami,43,39,28,13,15,26,0.682926829,0.365853659,0.524390244
2009,Miami,47,35,24,17,23,18,0.585365854,0.56097561,0.573170732
2010,Miami,58,24,30,11,28,13,0.731707317,0.682926829,0.707317073
1968,Milwaukee,27,55,15,19,8,27,0.441176471,0.228571429,0.329268293
1969,Milwaukee,56,26,27,11,24,14,0.710526316,0.631578947,0.682926829
1970,Milwaukee,66,16,34,2,28,13,0.944444444,0.682926829,0.804878049
1971,Milwaukee,63,19,31,5,27,12,0.861111111,0.692307692,0.768292683
1972,Milwaukee,60,22,33,5,25,15,0.868421053,0.625,0.731707317
1973,Milwaukee,59,23,31,7,24,16,0.815789474,0.6,0.719512195
1974,Milwaukee,38,44,25,16,13,28,0.609756098,0.317073171,0.463414634
1975,Milwaukee,38,44,22,19,16,25,0.536585366,0.390243902,0.463414634
1976,Milwaukee,30,52,24,17,6,35,0.585365854,0.146341463,0.365853659
1977,Milwaukee,44,38,28,13,16,25,0.682926829,0.390243902,0.536585366
1978,Milwaukee,38,44,28,13,10,31,0.682926829,0.243902439,0.463414634
1979,Milwaukee,49,33,28,13,21,20,0.682926829,0.512195122,0.597560976
1980,Milwaukee,60,22,34,7,26,15,0.829268293,0.634146341,0.731707317
1981,Milwaukee,55,27,31,10,24,17,0.756097561,0.585365854,0.670731707
1982,Milwaukee,51,31,31,10,20,21,0.756097561,0.487804878,0.62195122
1983,Milwaukee,50,32,30,11,20,21,0.731707317,0.487804878,0.609756098
1984,Milwaukee,59,23,36,5,23,18,0.87804878,0.56097561,0.719512195
1985,Milwaukee,57,25,33,8,24,17,0.804878049,0.585365854,0.695121951
1986,Milwaukee,50,32,32,9,18,23,0.780487805,0.43902439,0.609756098
1987,Milwaukee,42,40,30,11,12,29,0.731707317,0.292682927,0.512195122
1988,Milwaukee,49,33,31,10,18,23,0.756097561,0.43902439,0.597560976
1989,Milwaukee,44,38,27,14,17,24,0.658536585,0.414634146,0.536585366
1990,Milwaukee,48,34,33,8,15,26,0.804878049,0.365853659,0.585365854
1991,Milwaukee,31,51,25,16,6,35,0.609756098,0.146341463,0.37804878
1992,Milwaukee,28,54,18,23,10,31,0.43902439,0.243902439,0.341463415
1993,Milwaukee,20,62,11,30,9,32,0.268292683,0.219512195,0.243902439
1994,Milwaukee,34,48,22,19,12,29,0.536585366,0.292682927,0.414634146
1995,Milwaukee,25,57,14,27,11,30,0.341463415,0.268292683,0.304878049
1996,Milwaukee,33,49,20,21,13,28,0.487804878,0.317073171,0.402439024
1997,Milwaukee,36,46,21,20,15,26,0.512195122,0.365853659,0.43902439
1998,Milwaukee,28,22,17,8,11,14,0.68,0.44,0.56
1999,Milwaukee,42,40,23,18,19,22,0.56097561,0.463414634,0.512195122
2000,Milwaukee,52,30,31,10,21,20,0.756097561,0.512195122,0.634146341
2001,Milwaukee,41,41,25,16,16,25,0.609756098,0.390243902,0.5
2002,Milwaukee,42,40,25,16,17,24,0.609756098,0.414634146,0.512195122
2003,Milwaukee,41,41,27,14,14,27,0.658536585,0.341463415,0.5
2004,Milwaukee,30,52,23,18,7,34,0.56097561,0.170731707,0.365853659
2005,Milwaukee,40,42,25,16,15,26,0.609756098,0.365853659,0.487804878
2006,Milwaukee,28,54,18,23,10,31,0.43902439,0.243902439,0.341463415
2007,Milwaukee,26,56,19,22,7,34,0.463414634,0.170731707,0.317073171
2008,Milwaukee,34,48,22,19,12,29,0.536585366,0.292682927,0.414634146
2009,Milwaukee,46,36,28,13,18,23,0.682926829,0.43902439,0.56097561
2010,Milwaukee,35,47,22,19,13,28,0.536585366,0.317073171,0.426829268
1951,Milwaukee,17,49,7,13,3,22,0.35,0.12,0.257575758
1952,Milwaukee,27,44,14,8,4,24,0.636363636,0.142857143,0.38028169
1953,Milwaukee,21,51,10,14,6,17,0.416666667,0.260869565,0.291666667
1954,Milwaukee,26,46,6,11,9,16,0.352941176,0.36,0.361111111
1950,Minneapolis,44,24,29,3,12,21,0.90625,0.363636364,0.647058824
1951,Minneapolis,40,26,21,5,13,19,0.807692308,0.40625,0.606060606
1952,Minneapolis,48,22,24,2,16,15,0.923076923,0.516129032,0.685714286
1953,Minneapolis,46,26,21,4,13,15,0.84,0.464285714,0.638888889
1954,Minneapolis,40,32,18,6,10,14,0.75,0.416666667,0.555555556
1955,Minneapolis,33,39,13,12,6,21,0.52,0.222222222,0.458333333
1956,Minneapolis,34,38,18,13,9,22,0.580645161,0.290322581,0.472222222
1957,Minneapolis,19,53,13,17,4,22,0.433333333,0.153846154,0.263888889
1958,Minneapolis,33,39,15,7,9,17,0.681818182,0.346153846,0.458333333
1959,Minneapolis,25,50,9,13,9,22,0.409090909,0.290322581,0.333333333
1989,Minnesota,22,60,17,24,5,36,0.414634146,0.12195122,0.268292683
1990,Minnesota,29,53,21,20,8,33,0.512195122,0.195121951,0.353658537
1991,Minnesota,15,67,9,32,6,35,0.219512195,0.146341463,0.182926829
1992,Minnesota,19,63,18,23,1,40,0.43902439,0.024390244,0.231707317
1993,Minnesota,20,62,13,28,7,34,0.317073171,0.170731707,0.243902439
1994,Minnesota,21,61,13,28,8,33,0.317073171,0.195121951,0.256097561
1995,Minnesota,26,56,17,24,9,32,0.414634146,0.219512195,0.317073171
1996,Minnesota,40,42,25,16,15,26,0.609756098,0.365853659,0.487804878
1997,Minnesota,45,37,26,15,19,22,0.634146341,0.463414634,0.548780488
1998,Minnesota,25,25,18,7,7,18,0.72,0.28,0.5
1999,Minnesota,50,32,26,15,24,17,0.634146341,0.585365854,0.609756098
2000,Minnesota,47,35,30,11,17,24,0.731707317,0.414634146,0.573170732
2001,Minnesota,50,32,29,12,21,20,0.707317073,0.512195122,0.609756098
2002,Minnesota,51,31,33,8,18,23,0.804878049,0.43902439,0.62195122
2003,Minnesota,58,24,31,10,27,14,0.756097561,0.658536585,0.707317073
2004,Minnesota,44,38,24,17,20,21,0.585365854,0.487804878,0.536585366
2005,Minnesota,33,49,24,17,9,32,0.585365854,0.219512195,0.402439024
2006,Minnesota,32,50,20,21,12,29,0.487804878,0.292682927,0.390243902
2007,Minnesota,22,60,15,26,7,34,0.365853659,0.170731707,0.268292683
2008,Minnesota,24,58,11,30,13,28,0.268292683,0.317073171,0.292682927
2009,Minnesota,15,67,10,31,5,36,0.243902439,0.12195122,0.182926829
2010,Minnesota,17,65,12,29,5,36,0.292682927,0.12195122,0.207317073
1977,NewJersey,24,58,18,23,6,35,0.43902439,0.146341463,0.292682927
1978,NewJersey,37,45,25,16,12,29,0.609756098,0.292682927,0.451219512
1979,NewJersey,34,48,22,19,12,29,0.536585366,0.292682927,0.414634146
1980,NewJersey,24,58,16,25,8,33,0.390243902,0.195121951,0.292682927
1981,NewJersey,44,38,25,16,19,22,0.609756098,0.463414634,0.536585366
1982,NewJersey,49,33,30,11,19,22,0.731707317,0.463414634,0.597560976
1983,NewJersey,45,37,29,12,16,25,0.707317073,0.390243902,0.548780488
1984,NewJersey,42,40,27,14,15,26,0.658536585,0.365853659,0.512195122
1985,NewJersey,39,43,26,15,13,28,0.634146341,0.317073171,0.475609756
1986,NewJersey,24,58,19,22,5,36,0.463414634,0.12195122,0.292682927
1987,NewJersey,19,63,16,25,3,38,0.390243902,0.073170732,0.231707317
1988,NewJersey,26,56,17,24,9,32,0.414634146,0.219512195,0.317073171
1989,NewJersey,17,65,13,28,4,37,0.317073171,0.097560976,0.207317073
1990,NewJersey,26,56,20,21,6,35,0.487804878,0.146341463,0.317073171
1991,NewJersey,40,42,25,16,15,26,0.609756098,0.365853659,0.487804878
1992,NewJersey,43,39,26,15,17,24,0.634146341,0.414634146,0.524390244
1993,NewJersey,45,37,29,12,16,25,0.707317073,0.390243902,0.548780488
1994,NewJersey,30,52,20,21,10,31,0.487804878,0.243902439,0.365853659
1995,NewJersey,30,52,20,21,10,31,0.487804878,0.243902439,0.365853659
1996,NewJersey,26,56,16,25,10,31,0.390243902,0.243902439,0.317073171
1997,NewJersey,43,39,26,15,17,24,0.634146341,0.414634146,0.524390244
1998,NewJersey,16,34,12,13,4,21,0.48,0.16,0.32
1999,NewJersey,31,51,22,19,9,32,0.536585366,0.219512195,0.37804878
2000,NewJersey,26,56,18,23,8,33,0.43902439,0.195121951,0.317073171
2001,NewJersey,52,30,33,8,19,22,0.804878049,0.463414634,0.634146341
2002,NewJersey,49,33,33,8,16,25,0.804878049,0.390243902,0.597560976
2003,NewJersey,47,35,28,13,19,22,0.682926829,0.463414634,0.573170732
2004,NewJersey,42,40,24,17,18,23,0.585365854,0.43902439,0.512195122
